TagID_Hex,Time_in_ana,Time_out_anac,Weight,Length,Scales,Fins,Eyes,Ad_Clip,Time_out_surgery,Bleeding,Time_recovered,Surgeon,Data_Rec,Rel_group,HT_Temp,HT_DO,SB_Temp,SB_DO,Notes,DateTagged,Tag_placement,Tank Number,OrderID,Mort24hr
257,13:28:13,13:29:47,2.32,74,g,g,g,,13:30:51,,13:32:53,JH,AK,L,12.3,,12,,Some white discharge,2023-12-11,TA,11,595,N
68,13:30:10,13:31:46,2.17,68,g,g,g,,13:32:39,,13:35:03,JH,AK,L,12.3,,12,,Some white discharge,2023-12-11,TA,11,596,N
615,13:32:09,13:33:41,5.06,84,g,g,g,,13:34:30,,13:36:00,JH,AK,L,12.3,,12,,Flopped twice,2023-12-11,TA,11,597,N
269,13:34:13,13:35:44,2.58,73,g,g,g,,13:36:30,,13:39:34,JH,AK,V,12.3,,12,,,2023-12-11,TA,12,598,N
612,13:36:08,13:37:41,2.29,69,g,g,g,,13:38:31,,13:40:31,JH,AK,V,12.3,,12,,,2023-12-11,TA,12,599,N
00B7,13:38:03,13:39:37,2.21,68,g,g,g,,13:40:41,,13:42:40,JH,AK,V,12.3,,12,,,2023-12-11,TA,12,600,N
200,13:39:53,13:41:27,2.51,70,g,g,g,,13:42:20,,13:46:06,JH,AK,V,12.3,,12,,,2023-12-11,TA,12,601,N
3E02,13:41:41,13:43:15,2.4,69,g,g,g,,13:44:14,,13:48:04,JH,AK,L,12.3,,12,,,2023-12-11,TA,11,602,N
015F,13:43:17,13:44:57,4.68,84,g,g,g,,13:45:40,,13:49:24,JH,AK,L,12.3,,12,,,2023-12-11,TA,11,603,N
010D,13:45:03,13:46:43,2.07,68,g,g,g,,13:47:31,,13:51:34,JH,AK,L,12.3,,12,,,2023-12-11,TA,11,604,N
51,13:46:47,13:48:21,3.3,76,g,g,g,,13:49:06,,13:53:05,JH,AK,L,12.3,,12,,,2023-12-11,TA,11,605,N
04EE,13:48:48,13:50:25,3.51,75,g,f,g,,13:51:13,,13:53:08,JH,AK,L,12.3,,12,,Ragged caudal,2023-12-11,TA,11,606,N
247,13:57:01,13:58:50,2.09,69,g,g,g,,14:00:11,,14:02:34,JH,AK,V,12.3,,12,,,2023-12-11,TA,12,607,N
