raspPI_filestart,spp,hatchdate,f_status,tagdate,staff,trialdate,accstart,trialstart,trialend,tunneltemp,tagID,treatment,trialID,holdingtank,fl_mm,mass_g,sex,burstnumb,startside,burstFrom,burstTo,stalledAt,burstQual,stimQual,nFalseStart,Notes
T61_DSExp3_01_22_2024,DS,1/1/23,16,12/21/23,"SG, GH, KK",1/22/24,9:39:00,9:49:00,10:00:00,13,NA,FC,T61,7,87,4.89,F,1,L,0,14,,G,G,1,Missed many gates in between
T61_DSExp3_01_22_2024,DS,1/1/23,16,12/21/23,"SG, GH, KK",1/22/24,9:39:00,9:49:00,10:00:00,13,NA,FC,T61,7,87,4.89,F,2,R,NA,NA,,P,P,,Fail disregard
T61_DSExp3_01_22_2024,DS,1/1/23,16,12/21/23,"SG, GH, KK",1/22/24,9:39:00,9:49:00,10:00:00,13,NA,FC,T61,7,87,4.89,F,3,L,NA,NA,,P,P,,Fail disregard
T61_DSExp3_01_22_2024,DS,1/1/23,16,12/21/23,"SG, GH, KK",1/22/24,9:39:00,9:49:00,10:00:00,13,NA,FC,T61,7,87,4.89,F,4,L,5,14,,G,G,,
T61_DSExp3_01_22_2024,DS,1/1/23,16,12/21/23,"SG, GH, KK",1/22/24,9:39:00,9:49:00,10:00:00,13,NA,FC,T61,7,87,4.89,F,5,R,1,14,,G,G,,"Fish startled, missed 6-9, mal @10"
T61_DSExp3_01_22_2024,DS,1/1/23,16,12/21/23,"SG, GH, KK",1/22/24,9:39:00,9:49:00,10:00:00,13,NA,FC,T61,7,87,4.89,F,6,L,5,14,,G,G,,
T61_DSExp3_01_22_2024,DS,1/1/23,16,12/21/23,"SG, GH, KK",1/22/24,9:39:00,9:49:00,10:00:00,13,NA,FC,T61,7,87,4.89,F,7,R,11,14,,G,G,,
T61_DSExp3_01_22_2024,DS,1/1/23,16,12/21/23,"SG, GH, KK",1/22/24,9:39:00,9:49:00,10:00:00,13,NA,FC,T61,7,87,4.89,F,8,L,8,14,,G,G,1,
T62_DSExp3_01_22_2024,DS,1/1/23,16,12/21/23,"SG, GH, KK",1/22/24,10:11:00,10:22:00,10:32:00,12.3,NA,FC,T62,7,71,2.36,M,1,R,0,14,,G,G,,"Missed 6-9, mal @10"
T62_DSExp3_01_22_2024,DS,1/1/23,16,12/21/23,"SG, GH, KK",1/22/24,10:11:00,10:22:00,10:32:00,12.3,NA,FC,T62,7,71,2.36,M,2,L,5,11,12,G,G,,
T62_DSExp3_01_22_2024,DS,1/1/23,16,12/21/23,"SG, GH, KK",1/22/24,10:11:00,10:22:00,10:32:00,12.3,NA,FC,T62,7,71,2.36,M,3,R,3,14,,G,P,,"Missed 6-9, mal @10"
T62_DSExp3_01_22_2024,DS,1/1/23,16,12/21/23,"SG, GH, KK",1/22/24,10:11:00,10:22:00,10:32:00,12.3,NA,FC,T62,7,71,2.36,M,4,L,5,14,,G,G,1,
T62_DSExp3_01_22_2024,DS,1/1/23,16,12/21/23,"SG, GH, KK",1/22/24,10:11:00,10:22:00,10:32:00,12.3,NA,FC,T62,7,71,2.36,M,5,R,NA,NA,,P,P,2,
T62_DSExp3_01_22_2024,DS,1/1/23,16,12/21/23,"SG, GH, KK",1/22/24,10:11:00,10:22:00,10:32:00,12.3,NA,FC,T62,7,71,2.36,M,6,L,9,14,,G,F,1,
T62_DSExp3_01_22_2024,DS,1/1/23,16,12/21/23,"SG, GH, KK",1/22/24,10:11:00,10:22:00,10:32:00,12.3,NA,FC,T62,7,71,2.36,M,7,R,11,14,,G,F,1,
T62_DSExp3_01_22_2024,DS,1/1/23,16,12/21/23,"SG, GH, KK",1/22/24,10:11:00,10:22:00,10:32:00,12.3,NA,VT,T62,7,71,2.36,M,8,L,5,10,11,G,G,1,
