Number,TagID_Hex,spp,Rel_group,TankID,TagDate,MortDate,ExptMort,Mort_mass_g,Mort_FL_mm,Sex
68,F202,DeltaSmelt,FC,AES-1,12/22/23,12/26/23,Natural,4.02,78,F
69,F109,DeltaSmelt,FC,AES-7,12/21/23,12/26/23,Natural,5.29,83,F
70,F110,DeltaSmelt,FC,AES-7,12/21/23,12/26/23,Natural,3.35,71,F
71,F111,DeltaSmelt,FC,AES-7,12/21/23,12/26/23,Natural,5.02,78,F
72,F112,DeltaSmelt,FC,AES-7,12/21/23,12/26/23,Natural,5.68,84,F
73,F113,DeltaSmelt,FC,AES-7,12/21/23,12/26/23,Natural,2.45,67,M
74,F114,DeltaSmelt,FC,AES-7,12/21/23,12/26/23,Natural,3.05,73,M
75,F115,DeltaSmelt,FC,AES-7,12/21/23,12/26/23,Natural,1.97,65,M
76,0010,DeltaSmelt,LT,AES-8,12/21/23,12/27/23,Natural,3.35,72,F
77,0013,DeltaSmelt,LT,AES-8,12/21/23,12/27/23,Natural,3.76,75,F
78,0032,DeltaSmelt,LT,AES-2,12/22/23,12/27/23,Natural,1.97,66,M
79,0069,DeltaSmelt,LT,AES-8,12/21/23,12/27/23,Natural,3.51,73,F
80,00F1,DeltaSmelt,LT,AES-2,12/22/23,12/27/23,Natural,2.88,73,M
81,01CB,DeltaSmelt,LT,AES-8,12/21/23,12/27/23,Natural,4.63,80,F
82,0330,DeltaSmelt,LT,AES-8,12/21/23,12/27/23,Natural,4.26,75,F
83,0612,DeltaSmelt,LT,AES-8,12/21/23,12/27/23,Natural,2.77,71,M
84,06EE,DeltaSmelt,LT,AES-8,12/21/23,12/27/23,Natural,3.53,72,F
85,1060,DeltaSmelt,LT,AES-8,12/21/23,12/27/23,Natural,4.54,81,M
86,F203,DeltaSmelt,FC,AES-1,12/22/23,12/27/23,Natural,3.69,74,F
87,F116,DeltaSmelt,FC,AES-7,12/21/23,12/27/23,Natural,3.39,70,F
88,SHED,DeltaSmelt,VT,AES-3,12/22/23,12/27/23,Shed,3.53,70,F
89,0158,DeltaSmelt,LT,AES-2,12/22/23,12/28/23,Natural,3.11,75,M
90,015C,DeltaSmelt,VT,AES-9,12/21/23,12/28/23,Natural,2.46,70,M
91,0203,DeltaSmelt,LT,AES-2,12/22/23,12/28/23,Natural,2.08,66,M
92,036F,DeltaSmelt,VT,AES-3,12/22/23,12/28/23,Natural,3.7,72,M
93,051E,DeltaSmelt,LT,AES-8,12/21/23,12/28/23,Natural,3.69,76,M
94,0677,DeltaSmelt,LT,AES-8,12/21/23,12/28/23,Natural,2.78,75,M
95,06FB,DeltaSmelt,VT,AES-3,12/22/23,12/28/23,Natural,2.89,73,M
96,0794,DeltaSmelt,LT,AES-2,12/22/23,12/28/23,Natural,2.55,68,M
97,F117,DeltaSmelt,FC,AES-7,12/21/23,12/28/23,Natural,3.55,75,F
98,F118,DeltaSmelt,FC,AES-7,12/21/23,12/28/23,Natural,2.3,67,M
99,001C,DeltaSmelt,VT,AES-9,12/21/23,12/29/23,Natural,2.55,71,M
100,00C2,DeltaSmelt,VT,AES-9,12/21/23,12/29/23,Natural,4.14,71,M
101,0116,DeltaSmelt,VT,AES-3,12/22/23,12/29/23,Natural,1.63,65,M
102,0280,DeltaSmelt,LT,AES-2,12/22/23,12/29/23,Natural,1.68,65,M
103,0304,DeltaSmelt,LT,AES-8,12/21/23,12/29/23,Natural,2.98,67,M
104,0395,DeltaSmelt,VT,AES-3,12/22/23,12/29/23,Natural,2.56,69,M
105,0742,DeltaSmelt,VT,AES-3,12/22/23,12/29/23,Natural,2.74,72,M
106,F119,DeltaSmelt,FC,AES-7,12/21/23,12/29/23,Natural,1.97,68,F
107,F120,DeltaSmelt,FC,AES-7,12/21/23,12/29/23,Natural,2.08,67,F
108,00C0,DeltaSmelt,VT,AES-3,12/22/23,12/30/23,Natural,3.4,71,M
109,01A1,DeltaSmelt,VT,AES-3,12/22/23,12/30/23,Natural,2.84,73,M
110,0295,DeltaSmelt,LT,AES-8,12/21/23,12/30/23,Natural,1.94,65,M
111,0355,DeltaSmelt,VT,AES-9,12/21/23,12/30/23,Natural,2.22,67,M
112,0370,DeltaSmelt,VT,AES-3,12/22/23,12/30/23,Natural,2.17,68,M
113,0392,DeltaSmelt,VT,AES-3,12/22/23,12/30/23,Natural,2.22,69,M
114,03E2,DeltaSmelt,VT,AES-3,12/22/23,12/30/23,Natural,1.69,65,M
115,046F,DeltaSmelt,LT,AES-2,12/22/23,12/30/23,Natural,3.53,75,F
116,06F5,DeltaSmelt,LT,AES-2,12/22/23,12/30/23,Natural,2.1,66,M
117,F204,DeltaSmelt,FC,AES-1,12/22/23,12/30/23,Natural,2.19,67,M
118,F121,DeltaSmelt,FC,AES-7,12/21/23,12/30/23,Natural,4.6,80,M
119,SHED,DeltaSmelt,VT,AES-9,12/21/23,12/30/23,Shed,2.94,72,M
120,0127,DeltaSmelt,VT,AES-9,12/21/23,12/31/23,Natural,3.72,75,F
121,0799,DeltaSmelt,VT,AES-3,12/22/23,12/31/23,Natural,3.99,74,F
122,F122,DeltaSmelt,FC,AES-7,12/21/23,12/31/23,Natural,2.25,68,M
123,SHED,DeltaSmelt,VT,AES-3,12/22/23,12/31/23,Shed,3.48,73,F
124,0246,DeltaSmelt,VT,AES-3,12/22/23,1/1/24,Natural,2.75,72,M
125,F205,DeltaSmelt,FC,AES-1,12/22/23,1/1/24,Natural,4.31,79,F
126,F123,DeltaSmelt,FC,AES-7,12/21/23,1/1/24,Natural,2.92,72,M
127,F124,DeltaSmelt,FC,AES-7,12/21/23,1/1/24,Natural,3.24,75,M
128,F125,DeltaSmelt,FC,AES-7,12/21/23,1/1/24,Natural,2.58,69,F
129,003E,DeltaSmelt,VT,AES-9,12/21/23,1/2/24,Natural,2.96,76,M
130,0183,DeltaSmelt,VT,AES-9,12/21/23,1/2/24,Natural,4,78,F
131,0491,DeltaSmelt,VT,AES-3,12/22/23,1/2/24,Natural,1.95,66,M
132,06F2,DeltaSmelt,LT,AES-2,12/22/23,1/2/24,Natural,2.49,72,F
133,F206,DeltaSmelt,FC,AES-1,12/22/23,1/2/24,Natural,2.79,72,M
134,SHED,DeltaSmelt,VT,AES-9,12/21/23,1/2/24,Shed,4.09,76,F
135,01A6,DeltaSmelt,LT,AES-2,12/22/23,1/3/24,Natural,4.37,80,M
136,0229,DeltaSmelt,VT,AES-3,12/22/23,1/3/24,Natural,2.93,71,F
