Number,TagID_Hex,spp,Rel_group,TankID,TagDate,MortDate,ExptMort,Mort_Mass_g,Mort_FL_mm,Sex,ReproIndex,ReproNotes
73,330,DeltaSmelt,VT,AES-12,8/11/23,8/24/23,Natural,3,78,M,2,
74,010D,DeltaSmelt,LT,AES-11,8/11/23,8/24/23,Natural,4.4,88,F,2,"eggs, not all fully developed"
360,FC05,DeltaSmelt,FC,AES-1,8/8/23,8/24/23,Natural,,,U,,
75,FC28,DeltaSmelt,FC,AES-7,8/11/23,8/25/23,Natural,3.4,87,F,4,"seems post-spawn, sunken stomach"
76,Shed,DeltaSmelt,VT,AES-6,8/8/23,8/26/23,Natural,2.4,74,M,2,
77,NA,DeltaSmelt,VS,AES-10,8/11/23,8/27/23,Natural,4.7,86,F,2,not fully developed eggs
78,NA,DeltaSmelt,VS,AES-4,8/8/23,8/28/23,Natural,3,75,M,2,
79,NA,DeltaSmelt,LS,AES-9,8/11/23,8/29/23,Natural,2,65,M,2,
80,034C,DeltaSmelt,LT,AES-11,8/11/23,9/5/23,Natural,3.4,76,M,2,normal testes
81,NA,DeltaSmelt,VS,AES-4,8/8/23,9/6/23,Natural,4.4,87,F,1,early egg development
82,FC06,DeltaSmelt,FC,AES-1,8/8/23,9/8/23,Euth,3.6,84,M,2,
83,FC07,DeltaSmelt,FC,AES-1,8/8/23,9/8/23,Euth,3.1,73,M,2,
84,FC08,DeltaSmelt,FC,AES-1,8/8/23,9/8/23,Euth,4.8,88,M,2,
85,FC09,DeltaSmelt,FC,AES-1,8/8/23,9/8/23,Euth,3.9,83,M,2,
86,FC10,DeltaSmelt,FC,AES-1,8/8/23,9/8/23,Euth,4.5,82,M,2,
87,FC11,DeltaSmelt,FC,AES-1,8/8/23,9/8/23,Euth,3.6,79,M,2,
88,FC12,DeltaSmelt,FC,AES-1,8/8/23,9/8/23,Euth,3.9,81,F,0,
89,FC13,DeltaSmelt,FC,AES-1,8/8/23,9/8/23,Euth,3,77,M,2,
90,FC14,DeltaSmelt,FC,AES-1,8/8/23,9/8/23,Euth,3.4,76,M,2,
91,FC15,DeltaSmelt,FC,AES-1,8/8/23,9/8/23,Euth,6.3,94,F,1,
92,FC16,DeltaSmelt,FC,AES-1,8/8/23,9/8/23,Euth,3.2,79,M,2,
93,FC17,DeltaSmelt,FC,AES-1,8/8/23,9/8/23,Euth,6.4,95,F,1,
94,FC18,DeltaSmelt,FC,AES-1,8/8/23,9/8/23,Euth,3.8,86,F,1,very very early stage of egg development
95,FC19,DeltaSmelt,FC,AES-1,8/8/23,9/8/23,Euth,4.3,85,M,2,
96,FC20,DeltaSmelt,FC,AES-1,8/8/23,9/8/23,Euth,2.4,71,M,2,
97,FC21,DeltaSmelt,FC,AES-1,8/8/23,9/8/23,Euth,4.4,82,M,2,
99,FC22,DeltaSmelt,FC,AES-1,8/8/23,9/8/23,Euth,4.4,89,F,1,
100,HC06,DeltaSmelt,HC,AES-2,8/8/23,9/8/23,Euth,6.1,92,F,1,
101,HC07,DeltaSmelt,HC,AES-2,8/8/23,9/8/23,Euth,3.7,88,M,2,
102,HC08,DeltaSmelt,HC,AES-2,8/8/23,9/8/23,Euth,3,75,F,1,
103,HC09,DeltaSmelt,HC,AES-2,8/8/23,9/8/23,Euth,3.1,80,F,0,
104,HC10,DeltaSmelt,HC,AES-2,8/8/23,9/8/23,Euth,2.7,73,M,2,
105,HC11,DeltaSmelt,HC,AES-2,8/8/23,9/8/23,Euth,2.7,71,M,2,
106,HC12,DeltaSmelt,HC,AES-2,8/8/23,9/8/23,Euth,3.6,77,M,2,
107,HC13,DeltaSmelt,HC,AES-2,8/8/23,9/8/23,Euth,2.6,73,M,2,
108,HC14,DeltaSmelt,HC,AES-2,8/8/23,9/8/23,Euth,3.8,80,M,2,
109,HC15,DeltaSmelt,HC,AES-2,8/8/23,9/8/23,Euth,3,74,M,2,
110,HC16,DeltaSmelt,HC,AES-2,8/8/23,9/8/23,Euth,4.6,85,M,2,
111,HC17,DeltaSmelt,HC,AES-2,8/8/23,9/8/23,Euth,4,84,M,2,
112,HC18,DeltaSmelt,HC,AES-2,8/8/23,9/8/23,Euth,3.6,78,M,2,
113,HC19,DeltaSmelt,HC,AES-2,8/8/23,9/8/23,Euth,3.8,81,M,2,
