Number,TagID_Hex,spp,Rel_group,TankID,TagDate,MortDate,ExptMort,Mort_Mass_g,Mort_FL_mm,Sex,ReproIndex,ReproNotes
burst,219,DeltaSmelt,VT,AES-12,8/11/23,8/17/23,Burst,2.5,71,U,,
burst,392,DeltaSmelt,LT,AES-11,8/11/23,8/17/23,Burst,3.2,71,U,,
burst,207,DeltaSmelt,VT,AES-12,8/11/23,8/17/23,Burst,5.7,90,U,,
burst,06FB,DeltaSmelt,LT,AES-11,8/11/23,8/18/23,Burst,3.9,81,U,,
burst,06D0,DeltaSmelt,VT,AES-12,8/11/23,8/19/23,Burst,3.9,80,U,,
burst,110,DeltaSmelt,LT,AES-11,8/11/23,8/17/23,Burst,2.5,68,U,,
burst,00F1,DeltaSmelt,VT,AES-12,8/11/23,8/18/23,Burst,2.6,73,U,,
burst,011B,DeltaSmelt,LT,AES-11,8/11/23,8/19/23,Burst,4.1,85,U,,
burst,03D3,DeltaSmelt,VT,AES-6,8/8/23,8/16/23,Burst,1.8,68,U,,
burst,772,DeltaSmelt,LT,AES-5,8/8/23,8/14/23,Burst,4.2,82,U,,
burst,249,DeltaSmelt,LT,AES-5,8/8/23,8/15/23,Burst,5,85,U,,
burst,01FD,DeltaSmelt,VT,AES-6,8/8/23,8/15/23,Burst,2.8,71,U,,
burst,01EA,DeltaSmelt,VT,AES-6,8/8/23,8/16/23,Burst,2.4,71,U,,
burst,060E,DeltaSmelt,LT,AES-5,8/8/23,8/14/23,Burst,3.4,77,U,,
burst,799,DeltaSmelt,LT,AES-5,8/8/23,8/15/23,Burst,3.6,80,U,,
burst,247,DeltaSmelt,LT,AES-11,8/11/23,8/17/23,Burst,5.7,89,U,,
burst,03C4,DeltaSmelt,VT,AES-12,8/11/23,8/18/23,Burst,3.1,80,U,,
burst,304,DeltaSmelt,VT,AES-12,8/11/23,8/19/23,Burst,6,91,U,,
burst,491,DeltaSmelt,LT,AES-11,8/11/23,8/18/23,Burst,4.1,81,U,,
burst,07A0,DeltaSmelt,VT,AES-12,8/11/23,8/18/23,Burst,2.9,75,U,,
burst,031D,DeltaSmelt,VT,AES-6,8/8/23,8/16/23,Burst,3.4,78,U,,
burst,02BE,DeltaSmelt,LT,AES-11,8/11/23,8/19/23,Burst,3.2,74,U,,
burst,,DeltaSmelt,VS,AES-4,8/8/23,8/14/23,Burst,7.5,92,U,,
burst,,DeltaSmelt,VS,AES-4,8/8/23,8/14/23,Burst,3.6,87,U,,
burst,,DeltaSmelt,VS,AES-4,8/8/23,8/15/23,Burst,4.6,85,U,,
burst,,DeltaSmelt,VS,AES-4,8/8/23,8/15/23,Burst,3,78,U,,
burst,,DeltaSmelt,VS,AES-4,8/8/23,8/15/23,Burst,2.7,79,U,,
burst,,DeltaSmelt,VS,AES-4,8/8/23,8/16/23,Burst,2.9,79,U,,
burst,,DeltaSmelt,VS,AES-4,8/8/23,8/16/23,Burst,2.4,79,U,,
burst,,DeltaSmelt,VS,AES-4,8/8/23,8/16/23,Burst,2.5,75,U,,
burst,,DeltaSmelt,VS,AES-10,8/11/23,8/17/23,Burst,6.3,93,U,,
burst,,DeltaSmelt,VS,AES-10,8/11/23,8/17/23,Burst,3.4,71,U,,
burst,,DeltaSmelt,VS,AES-10,8/11/23,8/18/23,Burst,4,84,U,,
burst,,DeltaSmelt,VS,AES-10,8/11/23,8/18/23,Burst,3.7,83,U,,
burst,,DeltaSmelt,VS,AES-10,8/11/23,8/18/23,Burst,4.4,85,U,,
burst,,DeltaSmelt,VS,AES-10,8/11/23,8/19/23,Burst,3.7,77,U,,
burst,,DeltaSmelt,VS,AES-10,8/11/23,8/19/23,Burst,4.3,82,U,,
burst,,DeltaSmelt,VS,AES-10,8/11/23,8/19/23,Burst,4,83,U,,
burst,,DeltaSmelt,LS,AES-3,8/8/23,8/14/23,Burst,4.5,86,U,,
burst,,DeltaSmelt,LS,AES-3,8/8/23,8/14/23,Burst,3,75,U,,
burst,,DeltaSmelt,LS,AES-3,8/8/23,8/14/23,Burst,2.4,77,U,,
burst,,DeltaSmelt,LS,AES-3,8/8/23,8/15/23,Burst,2.9,70,U,,
burst,,DeltaSmelt,LS,AES-3,8/8/23,8/15/23,Burst,2.6,70,U,,
burst,,DeltaSmelt,LS,AES-3,8/8/23,8/16/23,Burst,3.3,75,U,,
burst,,DeltaSmelt,LS,AES-3,8/8/23,8/16/23,Burst,4.2,80,U,,
burst,,DeltaSmelt,LS,AES-3,8/8/23,8/16/23,Burst,4.3,84,U,,
burst,,DeltaSmelt,LS,AES-9,8/11/23,8/17/23,Burst,3.6,80,U,,
burst,,DeltaSmelt,LS,AES-9,8/11/23,8/17/23,Burst,5.4,81,U,,
burst,,DeltaSmelt,LS,AES-9,8/11/23,8/17/23,Burst,4.6,81,U,,
burst,,DeltaSmelt,LS,AES-9,8/11/23,8/18/23,Burst,4.4,87,U,,
burst,,DeltaSmelt,LS,AES-9,8/11/23,8/18/23,Burst,7.4,94,U,,
burst,,DeltaSmelt,LS,AES-9,8/11/23,8/19/23,Burst,2.7,74,U,,
burst,,DeltaSmelt,LS,AES-9,8/11/23,8/19/23,Burst,3.5,74,U,,
burst,,DeltaSmelt,LS,AES-9,8/11/23,8/19/23,Burst,3.8,83,U,,
burst,,DeltaSmelt,HC,AES-2,8/8/23,8/14/23,Burst,5,85,U,,
burst,,DeltaSmelt,HC,AES-2,8/8/23,8/14/23,Burst,3.4,81,U,,
burst,,DeltaSmelt,HC,AES-2,8/8/23,8/14/23,Burst,4.1,84,U,,
burst,,DeltaSmelt,HC,AES-2,8/8/23,8/15/23,Burst,2.2,72,U,,
burst,,DeltaSmelt,HC,AES-2,8/8/23,8/15/23,Burst,4.6,97,U,,
burst,,DeltaSmelt,HC,AES-2,8/8/23,8/15/23,Burst,3.5,80,U,,
burst,,DeltaSmelt,HC,AES-2,8/8/23,8/16/23,Burst,3.2,80,U,,
burst,,DeltaSmelt,HC,AES-2,8/8/23,8/16/23,Burst,2.1,68,U,,
burst,,DeltaSmelt,HC,AES-8,8/11/23,8/17/23,Burst,2.1,68,U,,
burst,,DeltaSmelt,HC,AES-8,8/11/23,8/17/23,Burst,3.9,77,U,,
burst,,DeltaSmelt,HC,AES-8,8/11/23,8/17/23,Burst,4.6,87,U,,
burst,,DeltaSmelt,HC,AES-8,8/11/23,8/18/23,Burst,4.3,86,U,,
burst,,DeltaSmelt,HC,AES-8,8/11/23,8/19/23,Burst,3.8,76,U,,
burst,,DeltaSmelt,HC,AES-8,8/11/23,8/18/23,Burst,3.4,81,U,,
burst,,DeltaSmelt,HC,AES-8,8/11/23,8/19/23,Burst,4.4,84,U,,
burst,,DeltaSmelt,HC,AES-8,8/11/23,8/19/23,Burst,3,76,U,,
burst,,DeltaSmelt,FC,AES-1,8/8/23,8/14/23,Burst,2.9,74,U,,
burst,,DeltaSmelt,FC,AES-1,8/8/23,8/14/23,Burst,4,82,U,,
burst,,DeltaSmelt,FC,AES-1,8/8/23,8/14/23,Burst,3.2,77,U,,
burst,,DeltaSmelt,FC,AES-1,8/8/23,8/15/23,Burst,3.3,82,U,,
burst,,DeltaSmelt,FC,AES-1,8/8/23,8/15/23,Burst,2.6,71,U,,
burst,,DeltaSmelt,FC,AES-1,8/8/23,8/15/23,Burst,5.5,102,U,,
burst,,DeltaSmelt,FC,AES-1,8/8/23,8/16/23,Burst,2.9,74,U,,
burst,,DeltaSmelt,FC,AES-1,8/8/23,8/16/23,Burst,3.8,75,U,,
burst,,DeltaSmelt,FC,AES-7,8/11/23,8/17/23,Burst,4,81,U,,
burst,,DeltaSmelt,FC,AES-7,8/11/23,8/17/23,Burst,3.7,78,U,,
burst,,DeltaSmelt,FC,AES-7,8/11/23,8/17/23,Burst,3.4,77,U,,
burst,,DeltaSmelt,FC,AES-7,8/11/23,8/18/23,Burst,6.2,87,U,,
burst,,DeltaSmelt,FC,AES-7,8/11/23,8/18/23,Burst,5.1,84,U,,
burst,,DeltaSmelt,FC,AES-7,8/11/23,8/18/23,Burst,3.1,74,U,,
burst,,DeltaSmelt,FC,AES-7,8/11/23,8/19/23,Burst,4.1,84,U,,
burst,,DeltaSmelt,FC,AES-7,8/11/23,8/19/23,Burst,3.3,74,U,,
