Number,TagID_Hex,spp,Rel_group,TankID,TagDate,MortDate,ExptMort,Mort_Mass_g,Mort_FL_mm,Sex,ReproNotes
25,NA,DeltaSmelt,FC,AES-10,12/11/23,12/14/23,Natural,2.87,71,F,"gravid, early stage egg development"
42,NA,DeltaSmelt,FC,AES-7,12/11/23,12/15/23,Natural,4.21,84,M,small teste
43,NA,DeltaSmelt,FC,AES-7,12/11/23,12/15/23,Natural,3.46,77,F,immature female
52,NA,DeltaSmelt,FC,AES-10,12/11/23,12/15/23,Natural,2.68,75,M,
57,NA,DeltaSmelt,FC,AES-1,12/13/23,12/16/23,Natural,3.85,79,F,
71,NA,DeltaSmelt,FC,AES-7,12/11/23,12/16/23,Natural,4.21,73,F,
72,NA,DeltaSmelt,FC,AES-7,12/11/23,12/16/23,Natural,2.41,67,M,
86,NA,DeltaSmelt,FC,AES-7,12/11/23,12/17/23,Natural,3.39,79,M,
87,NA,DeltaSmelt,FC,AES-7,12/11/23,12/17/23,Natural,1.89,64,F,
118,NA,DeltaSmelt,FC,AES-1,12/13/23,12/19/23,Natural,5.45,84,F,
128,NA,DeltaSmelt,FC,AES-10,12/11/23,12/19/23,Euth,3.17,78,M,
129,NA,DeltaSmelt,FC,AES-10,12/11/23,12/19/23,Euth,1.89,66,M,
130,NA,DeltaSmelt,FC,AES-10,12/11/23,12/19/23,Euth,2.34,71,M,
131,NA,DeltaSmelt,FC,AES-10,12/11/23,12/19/23,Euth,2.07,67,M,
132,NA,DeltaSmelt,FC,AES-10,12/11/23,12/19/23,Euth,2,63,M,
133,NA,DeltaSmelt,FC,AES-10,12/11/23,12/19/23,Euth,2.85,73,F,
134,NA,DeltaSmelt,FC,AES-10,12/11/23,12/19/23,Euth,5.08,84,F,
135,NA,DeltaSmelt,FC,AES-10,12/11/23,12/19/23,Euth,3.17,72,F,
136,NA,DeltaSmelt,FC,AES-1,12/13/23,12/20/23,Natural,4.55,82,M,
149,NA,DeltaSmelt,FC,AES-1,12/13/23,12/21/23,Euth,3.85,82,F,
150,NA,DeltaSmelt,FC,AES-1,12/13/23,12/21/23,Euth,2.29,70,M,
151,NA,DeltaSmelt,FC,AES-1,12/13/23,12/21/23,Euth,3.41,75,F,
152,NA,DeltaSmelt,FC,AES-1,12/13/23,12/21/23,Euth,1.71,65,M,
153,NA,DeltaSmelt,FC,AES-1,12/13/23,12/21/23,Euth,2.23,67,M,
154,NA,DeltaSmelt,FC,AES-1,12/13/23,12/21/23,Euth,2.09,69,M,
155,NA,DeltaSmelt,FC,AES-1,12/13/23,12/21/23,Euth,2.46,71,M,
156,NA,DeltaSmelt,FC,AES-1,12/13/23,12/21/23,Euth,1.91,69,M,
157,NA,DeltaSmelt,FC,AES-1,12/13/23,12/21/23,Euth,1.9,69,M,
158,NA,DeltaSmelt,FC,AES-1,12/13/23,12/21/23,Euth,4.42,81,F,
160,NA,DeltaSmelt,FC,AES-4,12/13/23,12/22/23,Euth,2.6,73,M,
161,NA,DeltaSmelt,FC,AES-4,12/13/23,12/22/23,Euth,1.82,66,M,
162,NA,DeltaSmelt,FC,AES-4,12/13/23,12/22/23,Euth,2.32,68,F,
163,NA,DeltaSmelt,FC,AES-4,12/13/23,12/22/23,Euth,1.83,64,M,
164,NA,DeltaSmelt,FC,AES-4,12/13/23,12/22/23,Euth,2.75,73,F,
165,NA,DeltaSmelt,FC,AES-4,12/13/23,12/22/23,Euth,3.67,77,F,
166,NA,DeltaSmelt,FC,AES-4,12/13/23,12/22/23,Euth,1.82,65,M,
167,NA,DeltaSmelt,FC,AES-4,12/13/23,12/22/23,Euth,1.83,65,F,
168,NA,DeltaSmelt,FC,AES-4,12/13/23,12/22/23,Euth,1.77,65,M,
56,NA,DeltaSmelt,VT,AES-12,12/11/23,12/15/23,Shed,3.37,81,M,
114,NA,DeltaSmelt,VT,AES-9,12/11/23,12/18/23,Shed,4.19,79,F,
115,NA,DeltaSmelt,VT,AES-9,12/11/23,12/18/23,Shed,4.43,82,F,
159,NA,DeltaSmelt,VT,AES-6,12/13/23,12/21/23,Shed,3.19,76,F,
,00DCx,DeltaSmelt,VT,AES-9,12/11/23,12/12/23,Shed,,,,
