Fish#,Species,HatchDate,Source,ArrivalDate,f_status,Mort_date,TankID,Treat_group,Tag_date,Days_to_mort,ReasonMort,TagID_hex,ShedTag?,Mass_mort,FL_mort,Sex,ReproStatusNotes,IncNotes,TagPlaceNotes,GenAppNotes,OtherNotes,Photos?,PhotoFolder
172,DeltaSmelt,Jan-23,FCCL,11/28/23,f16,1/12/24,1,FC,12/22/23,21,natural,NA,NA,5.01,89,female,,,,,,no,NA
173,DeltaSmelt,Jan-23,FCCL,11/28/23,f16,1/12/24,3,VT,12/22/23,21,natural,SHED,yes,2.11,73,male,,,,,,no,NA
174,DeltaSmelt,Jan-23,FCCL,11/28/23,f16,1/14/24,3,VT,12/22/23,23,natural,SHED,yes,2.61,74,female,,,,,,no,NA
175,DeltaSmelt,Jan-23,FCCL,11/28/23,f16,1/15/24,8,LT,12/21/23,25,natural,03E5,no,2.45,74,female,,,,,,no,NA
176,DeltaSmelt,Jan-23,FCCL,11/28/23,f16,1/15/24,7,FC,12/21/23,25,natural,NA,NA,3.61,79,female,,,,,,no,NA
177,DeltaSmelt,Jan-23,FCCL,11/28/23,f16,1/16/24,1,FC,12/22/23,25,natural,NA,NA,1.93,68,female,,,,,,no,NA
178,DeltaSmelt,Jan-23,FCCL,11/28/23,f16,1/17/24,3,VT,12/22/23,26,natural,07A1,no,2.79,75,male,,,,,,no,NA
179,DeltaSmelt,Jan-23,FCCL,11/28/23,f16,1/17/24,1,FC,12/22/23,26,natural,NA,NA,3.48,74,female,,,,,,no,NA
180,DeltaSmelt,Jan-23,FCCL,11/28/23,f16,1/17/24,7,FC,12/21/23,27,natural,NA,NA,3.97,77,female,,,,,,no,NA
181,DeltaSmelt,Jan-23,FCCL,11/28/23,f16,1/18/24,9,VT,12/21/23,28,natural,0112,no,5.12,82,female,,,,,,no,NA
182,DeltaSmelt,Jan-23,FCCL,11/28/23,f16,1/19/24,2,LT,12/22/23,28,natural,03C0,NO,3.24,75,female,,,,,,no,NA
183,DeltaSmelt,Jan-23,FCCL,11/28/23,f16,1/19/24,7,FC,12/21/23,29,natural,NA,NA,2.89,71,female,,,,,,no,NA
184,DeltaSmelt,Jan-23,FCCL,11/28/23,f16,1/21/24,3,VT,12/22/23,30,natural,016D,no,4.22,79,female,,,,,,no,NA
185,DeltaSmelt,Jan-23,FCCL,11/28/23,f16,1/21/24,8,LT,12/21/23,31,natural,0376,no,2.74,75,female,,,,,,no,NA
186,DeltaSmelt,Jan-23,FCCL,11/28/23,f16,1/22/24,8,LT,12/21/23,32,natural,02FA,no,3.27,72,male,,,,,,no,NA
187,DeltaSmelt,Jan-23,FCCL,11/28/23,f16,1/22/24,3,VT,12/22/23,31,natural,SHED,yes,2.73,70,female,,,,,,no,NA
188,DeltaSmelt,Jan-23,FCCL,11/28/23,f16,1/23/24,3,VT,12/22/23,32,natural,011E,no,2.93,75,female,,,,,,no,NA
189,DeltaSmelt,Jan-23,FCCL,11/28/23,f16,1/23/24,1,FC,12/22/23,32,natural,NA,NA,6.67,85,male,,,,,,no,NA
190,DeltaSmelt,Jan-23,FCCL,11/28/23,f16,1/24/24,1,FC,12/22/23,33,natural,NA,NA,2.9,77,female,,,,,,no,NA
191,DeltaSmelt,Jan-23,FCCL,11/28/23,f16,1/24/24,1,FC,12/22/23,33,natural,NA,NA,3.04,69,female,,,,,,no,NA
192,DeltaSmelt,Jan-23,FCCL,11/28/23,f16,1/24/24,1,FC,12/22/23,33,natural,NA,NA,2.2,66,female,,,,,,no,NA
193,DeltaSmelt,Jan-23,FCCL,11/28/23,f16,1/25/24,3,VT,12/22/23,34,natural,0131,NA,4.68,85,female,,,,,,no,NA
